time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
1500,1554.48,34.057,577.364,85.024,23.6178,5.78115,0.143037,22.8989,0.23821,0.0141133,0.00425258,-0.00725918,0.118805,-0.00127248,0.99289,1,74,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.0235294,0.0235294
1550,1554.76,34.09,578.533,87.7888,24.3858,5.96366,0.295286,23.6435,0.240234,0.0293471,0.0154607,-0.0154927,0.119699,-0.00591228,0.992672,1,76,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.0392157,0.0235294
1600,1555.05,34.127,579.741,90.3719,25.1033,6.0997,0.758311,24.3392,0.242009,0.0527706,0.0279126,-0.0278684,0.120291,-0.0106454,0.99229,1,79,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.0235294,0.00784314
1650,1555.35,34.211,580.982,92.9381,25.8161,6.22667,1.08911,25.0303,0.24367,0.0769493,0.0329824,-0.0401716,0.1208,-0.0116335,0.991796,1,81,-0.00392157,1,0,-0.0305176,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
1700,1555.67,34.304,582.253,95.2909,26.4697,6.63036,1.50101,25.5818,0.244953,0.0935447,0.0359274,-0.0485802,0.121188,-0.0120197,0.991367,1,81,-0.00392157,1,0,-0.0305176,True,True,0,0.0392157,0.00784314,0.00784314,0.00784314
1750,1555.99,34.408,583.551,97.7032,27.1398,6.71378,1.87333,26.2294,0.245613,0.0999855,0.0446252,-0.0522993,0.121214,-0.0158848,0.99112,1,84,-0.00392157,1,0,-0.0305176,True,True,0,0.0392157,0.00784314,0.00784314,0.00784314
1800,1556.31,34.532,584.877,99.9764,27.7712,7.0812,2.35906,26.7494,0.246271,0.103285,0.0613271,-0.0549453,0.121041,-0.0238874,0.990838,1,86,-0.00392157,1,0,0,True,True,0,0.0392157,0.00784314,0.00784314,0.00784314
1850,1556.65,34.67,586.233,101.487,28.1909,7.12679,2.57178,27.1537,0.246665,0.104508,0.0825622,-0.0568323,0.120621,-0.034258,0.990478,2,89,-0.00392157,1,0,0,True,True,0,0.0392157,0.00784314,0.00784314,0.00784314
1900,1556.98,34.814,587.593,100.981,28.0503,7.09124,2.55895,27.0183,0.246933,0.104591,0.104951,-0.0582189,0.120111,-0.0452704,0.990017,2,85,-0.00392157,1,0,0,True,True,0,0.0235294,0.00784314,0.0235294,0.00784314
1950,1557.31,34.958,588.944,100.377,27.8825,7.04882,2.54364,26.8566,0.247029,0.10309,0.125415,-0.0587001,0.11961,-0.0554454,0.989532,2,78,-0.00392157,1,0,0.0305176,True,True,0,0.0235294,0.00784314,0.0235294,0.00784314
2000,1557.65,35.099,590.287,99.8764,27.7435,7.01367,2.53096,26.7227,0.246717,0.0997063,0.142039,-0.0580081,0.119094,-0.0638725,0.989127,2,71,-0.00392157,1,0,0.0305176,True,True,0,0.0235294,0.00784314,0.0235294,0.00784314
2050,1557.98,35.23,591.623,99.3783,27.6051,6.97869,2.51833,26.5894,0.24608,0.0943324,0.15552,-0.0561338,0.118607,-0.0709031,0.988814,2,64,-0.00392157,1,0,0.0305176,True,True,0,0.0392157,0.0235294,0.0235294,0.00784314
2100,1558.31,35.354,592.951,98.8827,27.4674,7.00374,2.33325,26.4568,0.244926,0.0863626,0.166689,-0.0528197,0.118069,-0.076991,0.988606,2,56,-0.0117647,1,0,0.0305176,True,True,0,0.0392157,0.0235294,0.0392157,0.00784314
2150,1558.64,35.47,594.273,99.5773,27.6604,6.79324,2.07792,26.7325,0.243354,0.0756055,0.176693,-0.0480406,0.117519,-0.0827031,0.988454,2,52,-0.00392157,1,0,0.0305176,True,True,0,0.054902,0.0235294,0.0392157,0.00784314
2200,1558.97,35.576,595.62,101.69,28.2474,7.03386,1.77634,27.2999,0.241474,0.0637921,0.186815,-0.0427271,0.116913,-0.088538,0.988265,2,52,-0.00392157,1,0,0.0305176,True,True,0,0.0705882,0.0392157,0.054902,0.0235294
2250,1559.31,35.667,596.993,103.331,28.703,7.22783,1.44932,27.7402,0.239233,0.051414,0.197627,-0.0371497,0.116197,-0.0947374,0.987999,2,54,-0.00392157,1,0,0.0305176,True,True,0,0.0862745,0.054902,0.054902,0.0392157
2300,1559.65,35.738,598.39,105.102,29.1951,7.09393,0.881913,28.3064,0.236536,0.037703,0.209392,-0.0309365,0.115372,-0.101473,0.987641,2,54,-0.0196078,1,0,0.0610352,True,True,0,0.0862745,0.0705882,0.0705882,0.054902
2350,1559.99,35.783,599.812,106.904,29.6956,7.26221,0.359583,28.7917,0.234425,0.0222033,0.221339,-0.0238697,0.115005,-0.108363,0.987148,2,55,-0.137255,1,0,0.0915527,True,True,0,0.0862745,0.0705882,0.0705882,0.054902
2400,1560.33,35.802,601.262,108.846,30.235,7.04004,0,29.404,0.234172,0.00512309,0.232101,-0.0160531,0.115738,-0.114698,0.986505,2,57,-0.00392157,1,0,0.0305176,True,True,0,0.0862745,0.0862745,0.0862745,0.054902
2450,1560.68,35.795,602.738,110.823,30.7842,7.14818,-0.531448,29.938,0.233099,-0.0117726,0.24056,-0.0081479,0.116145,-0.119846,0.985942,2,57,-0.00392157,1,0,0.0305176,True,True,0,0.0705882,0.0705882,0.0862745,0.054902
2500,1561.04,35.761,604.243,112.949,31.3746,7.24959,-0.901264,30.5123,0.231281,-0.0276081,0.245779,-0.000529117,0.116183,-0.123286,0.985546,2,58,-0.00392157,1,0,0.0610352,True,True,0,0.0705882,0.0705882,0.0705882,0.054902
2550,1561.4,35.704,605.776,115.115,31.9765,7.67676,-1.53935,31.0031,0.229224,-0.0420317,0.247602,0.00661004,0.116038,-0.124929,0.985335,2,59,-0.0117647,1,0,0.0610352,True,True,0,0.054902,0.0705882,0.0705882,0.054902
2600,1561.77,35.625,607.338,117.323,32.5898,7.78282,-1.76191,31.5978,0.227324,-0.0548846,0.246137,0.0131585,0.115862,-0.124833,0.985302,2,60,-0.0431373,1,0,0.0610352,True,True,0,0.054902,0.054902,0.0705882,0.054902
2650,1562.15,35.526,608.932,119.574,33.2149,7.83359,-2.18579,32.2039,0.227762,-0.0649264,0.242091,0.0183257,0.116633,-0.123325,0.985318,2,62,-0.301961,1,0,0.183105,True,True,0,0.0235294,0.0392157,0.054902,0.054902
2700,1562.54,35.41,610.557,121.989,33.8859,8.38263,-2.33898,32.7493,0.235733,-0.0706673,0.235688,0.0210551,0.120824,-0.120529,0.985105,2,63,-0.356863,1,0,0.152588,True,True,0,0.00784314,0.00784314,0.0392157,0.0392157
2750,1562.95,35.287,612.213,124.329,34.5359,8.9404,-2.49461,33.2652,0.249821,-0.0702861,0.23007,0.0203753,0.127682,-0.117896,0.984572,2,64,-0.160784,1,0,0.0305176,True,True,0,0.00784314,-0.00784314,0.00784314,0.0235294
2800,1563.39,35.164,613.897,126.714,35.1984,9.57784,-2.41881,33.7837,0.265352,-0.0658325,0.227606,0.0174282,0.13506,-0.11659,0.9838,2,65,-0.317647,1,0,0.0915527,True,True,0,0.00784314,-0.00784314,-0.00784314,0.00784314
2850,1563.87,35.047,615.604,129.016,35.8377,10.6365,-2.40795,34.138,0.284293,-0.0643621,0.227734,0.0155893,0.144294,-0.116722,0.982503,2,67,-0.568627,1,0,0.183105,True,True,0,0.00784314,0.00784314,-0.00784314,0.00784314
