# completing-run time differences, 2021-05-31 -> 2021-06-08
# delta_ms = resim(2021-06-08) - resim(2021-05-31); positive = the same inputs finish SLOWER on 2021-06-08
replay	declared_ms	resim_a_ms	resim_b_ms	delta_ms	map_uid
2020-07-07_23_07__1066.Replay.Gbx	7051	7051	7051	0	btmbJWADQOS20ginP9DJ0i8sh3f
2020-09-10_18_08__3354.Replay.Gbx	7141	7141	7141	0	btmbJWADQOS20ginP9DJ0i8sh3f
2020-09-11_18_31__3356.Replay.Gbx	7374	7374	7374	0	ga3zTKvSo7yJca60Ry_Z003L031
2020-09-25_18_53__6841.Replay.Gbx	7102	7102	7102	0	btmbJWADQOS20ginP9DJ0i8sh3f
2020-10-02_15_02__1505.Replay.Gbx	12430	12430	12430	0	eOA1X_xnvKbdDSuyymweOZzSrQ3
2020-10-02_15_02__1517.Replay.Gbx	7118	7118	7118	0	btmbJWADQOS20ginP9DJ0i8sh3f
2020-10-02_15_02__1536.Replay.Gbx	18045	18045	18045	0	EnMnBg3D4Uvb5bz8VLod73z6n47
2020-10-20_18_09__11661.Replay.Gbx	7442	7442	7442	0	olsKnq_qAghcVAnEkoeUnVHFZei
2020-11-05_16_41__13823.Replay.Gbx	7108	7108	7108	0	btmbJWADQOS20ginP9DJ0i8sh3f
2020-12-09_10_00__18085.Replay.Gbx	18924	18924	18924	0	OHRxJCE_cKxEGOGmhF9z6Hf0YZb
2021-01-07_18_56__22956.Replay.Gbx	15867	15867	15867	0	RlZ2HVhAwN5nD7I1lLciKhPsbb7
2021-01-07_18_56__22957.Replay.Gbx	18226	18226	18226	0	EnMnBg3D4Uvb5bz8VLod73z6n47
2021-01-18_21_14__23810.Replay.Gbx	12195	12195	12195	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-01-22_14_32__24638.Replay.Gbx	7592	7592	7592	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-01-28_14_21__25445.Replay.Gbx	7525	7525	7525	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-01-28_14_21__25464.Replay.Gbx	7231	7231	7231	0	btmbJWADQOS20ginP9DJ0i8sh3f
2021-01-28_14_21__25470.Replay.Gbx	7387	7387	7387	0	ga3zTKvSo7yJca60Ry_Z003L031
2021-02-04_14_14__26638.Replay.Gbx	12131	12131	12131	0	eOA1X_xnvKbdDSuyymweOZzSrQ3
2021-02-04_14_14__26887.Replay.Gbx	17838	17838	17838	0	HUdTz2jn1G6ApGgUlmsQVtyufik
2021-02-15_13_23__27497.Replay.Gbx	7524	7524	7524	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-03-01_15_48__29004.Replay.Gbx	12114	12114	12114	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-03-01_15_48__36330.Replay.Gbx	7456	7456	7456	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-03-25_18_51__31926.Replay.Gbx	12107	12107	12107	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-03-25_18_51__32397.Replay.Gbx	7475	7475	7475	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-03-30_19_17__33231.Replay.Gbx	8282	8282	8282	0	lNP8O0sqatiHqecUXrhH65rpQ8a
2021-03-30_19_17__33232.Replay.Gbx	7469	7469	7469	0	ga3zTKvSo7yJca60Ry_Z003L031
2021-04-02_16_48__32793.Replay.Gbx	10538	10538	10538	0	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-04-02_16_48__32795.Replay.Gbx	12128	12128	12128	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-04-09_17_52__34246.Replay.Gbx	11898	11898	11898	0	OeJCW8sHENIcYscK8o5zVHAxADd
2021-05-20_15_27__39348.Replay.Gbx	18067	18067	18067	0	EnMnBg3D4Uvb5bz8VLod73z6n47
2021-06-09_20_13__41953.Replay.Gbx	15827	15827	15827	0	RlZ2HVhAwN5nD7I1lLciKhPsbb7
2021-06-11_11_30__42558.Replay.Gbx	7434	7434	7434	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-06-11_17_46__45744.Replay.Gbx	15788	15788	15788	0	RlZ2HVhAwN5nD7I1lLciKhPsbb7
2021-06-12_17_56__45736.Replay.Gbx	12104	12104	12104	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-07-01_13_02__44700.Replay.Gbx	7407	7407	7407	0	ga3zTKvSo7yJca60Ry_Z003L031
2021-07-06_18_45__45725.Replay.Gbx	7082	7082	7082	0	btmbJWADQOS20ginP9DJ0i8sh3f
2021-07-08_19_39__45875.Replay.Gbx	12114	12114	12114	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-08-25_15_46__50970.Replay.Gbx	11795	11795	11795	0	OeJCW8sHENIcYscK8o5zVHAxADd
2021-09-30_13_48__54294.Replay.Gbx	12085	12085	12085	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-10-04_17_59__58621.Replay.Gbx	9564	9564	9564	0	JR9OBQPyFoXaRthczOecmSBVYV1
2021-10-21_17_33__57903.Replay.Gbx	12091	12091	12091	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-10-21_17_33__57924.Replay.Gbx	13015	13015	13015	0	0hI2P3y8sENgIkruI_X7s3efES
2021-10-28_13_03__59630.Replay.Gbx	7090	7090	7090	0	btmbJWADQOS20ginP9DJ0i8sh3f
2021-12-03_11_42__62097.Replay.Gbx	12983	12983	12983	0	0hI2P3y8sENgIkruI_X7s3efES
2021-12-14_16_24__74222.Replay.Gbx	12981	12981	12981	0	0hI2P3y8sENgIkruI_X7s3efES
2022-02-10_12_06__78851.Replay.Gbx	7432	7432	7432	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-01-21_13_59__24147.Replay.Gbx	17931	17931	17932	1	EnMnBg3D4Uvb5bz8VLod73z6n47
2021-04-02_16_48__32675.Replay.Gbx	7451	7451	7452	1	ga3zTKvSo7yJca60Ry_Z003L031
2021-07-02_16_36__45249.Replay.Gbx	12115	12114	12115	1	us4gaCDQSxmjVMtp5nYfReezTqh
2020-12-09_10_00__18088.Replay.Gbx	16970	16970	16972	2	TVUF91YlnL78BFJwG5ADkNlymqe
2021-05-20_15_27__40357.Replay.Gbx	28170	28170	28172	2	NTOwbZ9DaOT8rNOUxSP8LRzeZWc
2021-06-11_17_46__45749.Replay.Gbx	17460	17458	17460	2	OHRxJCE_cKxEGOGmhF9z6Hf0YZb
2021-10-28_13_03__59654.Replay.Gbx	7370	7368	7370	2	ga3zTKvSo7yJca60Ry_Z003L031
2020-09-11_18_31__305.Replay.Gbx	24445	24445	24448	3	I7alUIJZ8y9jku_Sd99cRkysa7c
2021-03-25_18_51__31931.Replay.Gbx	11737	11737	11740	3	DyNBxhQ6006991FwvVOaBX9Gcv1
2021-12-14_16_24__65961.Replay.Gbx	21190	21187	21190	3	qQEgNKxDhXtTsxWYRW0V4pvpER7
2021-02-04_14_14__26540.Replay.Gbx	11330	11330	11334	4	AJFJd6yABuSMfgJGc8UpWRwUVa0
2021-01-18_21_14__23811.Replay.Gbx	11911	11911	11916	5	OeJCW8sHENIcYscK8o5zVHAxADd
