race_ms	brake	up	down	left	right	votes	conflicts	video_t
60400	0	1	0	0	0	1	0	501.333
60410	0	1	0	0	0	1	0	501.350
60420	0	1	0	0	0	1	0	501.367
60440	0	1	0	0	0	1	0	501.383
60450	0	1	0	0	0	1	0	501.400
60460	0	1	0	0	0	1	0	501.417
60470	0	1	0	0	0	1	0	501.433
60490	0	1	0	0	1	1	0	501.450
60500	0	1	0	0	1	1	0	501.467
60510	0	1	0	0	1	1	0	501.483
60520	0	1	0	0	1	1	0	501.500
60540	0	1	0	0	1	1	0	501.517
60550	0	1	0	0	1	1	0	501.533
60560	0	1	0	0	0	1	0	501.550
60580	0	1	0	0	0	1	0	501.567
60590	0	1	0	0	0	1	0	501.583
60600	0	1	0	0	0	1	0	501.600
60610	0	1	0	0	0	1	0	501.617
60630	0	1	0	0	0	1	0	501.633
60640	0	1	0	0	0	1	0	501.650
60650	0	1	0	0	0	1	0	501.667
60670	0	1	0	0	0	1	0	501.683
60680	0	1	0	0	0	1	0	501.700
60690	0	1	0	0	0	1	0	501.717
60700	0	1	0	0	0	1	0	501.733
60720	0	1	0	0	0	1	0	501.750
60730	0	1	0	0	0	1	0	501.767
60740	0	1	0	0	0	1	0	501.783
60750	0	1	0	0	0	1	0	501.800
60770	0	1	0	0	0	1	0	501.817
60780	0	1	0	0	1	1	0	501.833
60790	0	1	0	0	1	1	0	501.850
60810	0	1	0	0	1	1	0	501.867
60820	0	1	0	0	1	1	0	501.883
60830	0	1	0	0	1	1	0	501.900
60840	0	1	0	0	1	1	0	501.917
60860	0	1	0	0	1	1	0	501.933
60870	0	1	0	0	1	1	0	501.950
60880	0	1	0	0	1	1	0	501.967
60890	0	1	0	0	1	1	0	501.983
60910	0	1	0	0	1	1	0	502.000
60920	0	1	0	0	0	1	0	502.017
60930	0	1	0	0	0	1	0	502.033
60950	0	1	0	0	0	1	0	502.050
60960	0	1	0	0	1	1	0	502.067
60970	0	1	0	0	1	1	0	502.083
60980	0	1	0	0	1	1	0	502.100
61000	0	1	0	0	1	1	0	502.117
61010	0	1	0	0	1	1	0	502.133
61020	0	1	0	0	1	1	0	502.150
61040	0	1	0	0	1	1	0	502.167
61050	0	1	0	0	1	1	0	502.183
61060	0	1	0	0	1	1	0	502.200
61070	0	1	0	0	1	1	0	502.217
61090	0	1	0	0	1	1	0	502.233
61100	0	1	0	0	1	1	0	502.250
61110	0	1	0	0	1	1	0	502.267
61120	0	1	0	0	1	1	0	502.283
61140	0	1	0	0	0	1	0	502.300
61150	0	1	0	0	0	1	0	502.317
61160	0	1	0	0	0	1	0	502.333
61180	0	1	0	0	0	1	0	502.350
61190	0	1	0	0	0	1	0	502.367
61200	0	1	0	0	0	1	0	502.383
61210	0	1	0	0	1	1	0	502.400
61230	0	1	0	0	1	1	0	502.417
61240	0	1	0	0	1	1	0	502.433
61250	0	1	0	0	1	1	0	502.450
61270	0	1	0	0	1	1	0	502.467
61280	0	1	0	0	1	1	0	502.483
61290	0	1	0	0	1	1	0	502.500
61300	0	1	0	0	1	1	0	502.517
61320	0	1	0	0	1	1	0	502.533
61330	0	1	0	0	1	1	0	502.550
61340	0	1	0	0	1	1	0	502.567
61350	0	1	0	0	1	1	0	502.583
61370	0	1	0	0	1	1	0	502.600
61380	0	1	0	0	1	1	0	502.617
61390	0	1	0	0	1	1	0	502.633
61410	0	1	0	0	1	1	0	502.650
61420	0	1	0	0	1	1	0	502.667
61430	0	1	0	0	0	1	0	502.683
61440	0	1	0	0	0	1	0	502.700
61460	0	1	0	0	0	1	0	502.717
61470	0	1	0	0	0	1	0	502.733
61480	0	1	0	0	0	1	0	502.750
61490	0	1	0	0	1	1	0	502.767
61510	0	1	0	0	1	1	0	502.783
61520	0	1	0	0	1	1	0	502.800
61530	0	1	0	0	1	1	0	502.817
61550	0	1	0	0	1	1	0	502.833
61560	0	1	0	0	1	1	0	502.850
61570	0	1	0	0	1	1	0	502.867
61580	0	1	0	0	1	1	0	502.883
61600	0	1	0	0	1	1	0	502.900
61610	0	1	0	0	1	1	0	502.917
61620	0	1	0	0	1	1	0	502.933
61640	0	1	0	0	1	1	0	502.950
61650	0	1	0	0	1	1	0	502.967
61660	0	1	0	0	1	1	0	502.983
61670	0	1	0	0	1	1	0	503.000
61690	0	1	0	0	1	1	0	503.017
61700	0	1	0	0	1	1	0	503.033
61710	0	1	0	0	0	1	0	503.050
61720	0	1	0	0	0	1	0	503.067
61740	0	1	0	0	0	1	0	503.083
61750	0	1	0	0	0	1	0	503.100
61760	0	1	0	0	0	1	0	503.117
61780	0	1	0	0	0	1	0	503.133
61790	0	1	0	0	0	1	0	503.150
61800	0	1	0	0	0	1	0	503.167
61810	0	1	0	0	0	1	0	503.183
61830	0	1	0	0	1	1	0	503.200
61840	0	1	0	0	1	1	0	503.217
61850	0	1	0	0	0	1	0	503.233
61870	0	1	0	0	0	1	0	503.250
61880	0	1	0	0	0	1	0	503.267
61890	0	1	0	0	0	1	0	503.283
61900	0	1	0	0	0	1	0	503.300
61920	0	1	0	0	0	1	0	503.317
61930	0	1	0	0	0	1	0	503.333
61940	0	1	0	0	0	1	0	503.350
61950	0	1	0	0	0	1	0	503.367
61970	0	1	0	0	0	1	0	503.383
61980	0	1	0	0	0	1	0	503.400
61990	0	1	0	1	0	1	0	503.417
62010	0	1	0	1	0	1	0	503.433
62020	0	1	0	1	0	1	0	503.450
62030	0	1	0	0	0	1	0	503.467
62040	0	1	0	0	0	1	0	503.483
62060	0	1	0	0	0	1	0	503.500
62070	0	1	0	0	0	1	0	503.517
62080	0	1	0	0	0	1	0	503.533
62090	0	1	0	0	0	1	0	503.550
62110	0	1	0	0	0	1	0	503.567
62120	0	1	0	0	0	1	0	503.583
62130	0	1	0	0	0	1	0	503.600
62150	0	1	0	0	0	1	0	503.617
62160	0	1	0	0	0	1	0	503.633
62170	0	1	0	0	0	1	0	503.650
62180	0	1	0	0	1	1	0	503.667
62200	0	1	0	0	1	1	0	503.683
62210	0	1	0	0	1	1	0	503.700
62220	0	1	0	0	1	1	0	503.717
62240	0	1	0	0	1	1	0	503.733
62250	0	1	0	0	1	1	0	503.750
62260	0	1	0	0	1	1	0	503.767
62270	0	1	0	0	1	1	0	503.783
62290	0	1	0	0	0	1	0	503.800
62300	0	1	0	0	0	1	0	503.817
62310	0	1	0	0	0	1	0	503.833
62320	0	1	0	0	0	1	0	503.850
62340	0	1	0	0	0	1	0	503.867
62350	0	1	0	0	0	1	0	503.883
62360	0	1	0	0	0	1	0	503.900
62380	0	1	0	0	0	1	0	503.917
62390	0	1	0	0	0	1	0	503.933
62400	0	1	0	0	0	1	0	503.950
62410	0	1	0	0	0	1	0	503.967
62430	0	1	0	0	0	1	0	503.983
62440	0	1	0	0	0	1	0	504.000
62450	0	1	0	0	0	1	0	504.017
62470	0	1	0	0	0	1	0	504.033
62480	0	1	0	0	0	1	0	504.050
62490	0	1	0	0	0	1	0	504.067
62500	0	1	0	0	0	1	0	504.083
62520	0	1	0	0	0	1	0	504.100
62530	0	1	0	0	0	1	0	504.117
62540	0	1	0	0	0	1	0	504.133
62550	0	1	0	0	0	1	0	504.150
62570	0	1	0	0	0	1	0	504.167
62580	0	1	0	0	0	1	0	504.183
62590	0	1	0	0	0	1	0	504.200
62610	0	1	0	0	1	1	0	504.217
62620	0	1	0	0	1	1	0	504.233
62630	0	1	0	0	1	1	0	504.250
62640	0	1	0	0	1	1	0	504.267
62660	0	1	0	0	1	1	0	504.283
62670	0	1	0	0	1	1	0	504.300
62680	0	1	0	0	1	1	0	504.317
62690	0	1	0	0	1	1	0	504.333
62710	0	1	0	0	1	1	0	504.350
62720	0	1	0	0	0	1	0	504.367
62730	0	1	0	0	0	1	0	504.383
62750	0	1	0	0	0	1	0	504.400
62760	0	1	0	0	0	1	0	504.417
62770	0	1	0	0	0	1	0	504.433
62780	0	1	0	0	0	1	0	504.450
62800	0	1	0	0	0	1	0	504.467
62810	0	1	0	0	0	1	0	504.483
62820	0	1	0	0	0	1	0	504.500
62840	0	1	0	0	0	1	0	504.517
62850	0	1	0	0	0	1	0	504.533
62860	0	1	0	0	0	1	0	504.550
62870	0	1	0	0	0	1	0	504.567
62890	0	1	0	0	0	1	0	504.583
62900	0	1	0	0	0	1	0	504.600
62910	0	1	0	0	0	1	0	504.617
62920	0	1	0	0	0	1	0	504.633
62940	0	1	0	0	0	1	0	504.650
62950	0	1	0	0	0	1	0	504.667
62960	0	1	0	0	0	1	0	504.683
62980	0	1	0	0	0	1	0	504.700
62990	0	1	0	0	0	1	0	504.717
63000	0	1	0	0	0	1	0	504.733
63010	0	1	0	0	0	1	0	504.750
63030	0	1	0	0	0	1	0	504.767
63040	0	1	0	0	0	1	0	504.783
63050	0	1	0	0	0	1	0	504.800
63070	0	1	0	0	0	1	0	504.817
63080	0	1	0	0	0	1	0	504.833
63090	0	1	0	0	0	1	0	504.850
63100	0	1	0	0	0	1	0	504.867
63120	0	1	0	0	1	1	0	504.883
63130	0	1	0	0	1	1	0	504.900
63140	0	1	0	0	1	1	0	504.917
63150	0	1	0	0	1	1	0	504.933
63170	0	1	0	0	1	1	0	504.950
63180	0	1	0	0	1	1	0	504.967
63190	0	1	0	0	1	1	0	504.983
63210	0	1	0	0	1	1	0	505.000
63220	0	1	0	0	0	1	0	505.017
63230	0	1	0	0	0	1	0	505.033
63240	0	1	0	0	0	1	0	505.050
63260	0	1	0	0	0	1	0	505.067
63270	0	1	0	0	0	1	0	505.083
63280	0	1	0	0	0	1	0	505.100
63290	0	1	0	0	0	1	0	505.117
63310	0	1	0	0	0	1	0	505.133
63320	0	1	0	0	0	1	0	505.150
63330	0	1	0	0	0	1	0	505.167
63350	0	1	0	0	0	1	0	505.183
63360	0	1	0	0	0	1	0	505.200
63370	0	1	0	0	0	1	0	505.217
63380	0	1	0	0	0	1	0	505.233
63400	0	1	0	0	0	1	0	505.250
63410	0	1	0	0	0	1	0	505.267
63420	0	1	0	0	0	1	0	505.283
63440	0	1	0	0	0	1	0	505.300
63450	0	1	0	0	0	1	0	505.317
63460	0	1	0	0	0	1	0	505.333
63470	0	1	0	0	0	1	0	505.350
63490	0	1	0	0	0	1	0	505.367
63500	0	1	0	0	0	1	0	505.383
63510	0	1	0	0	0	1	0	505.400
63520	0	1	0	0	0	1	0	505.417
63540	0	1	0	0	0	1	0	505.433
63550	0	1	0	0	0	1	0	505.450
63560	0	1	0	0	0	1	0	505.467
63580	0	1	0	0	0	1	0	505.483
63590	0	1	0	0	0	1	0	505.500
63600	0	1	0	0	0	1	0	505.517
63610	0	1	0	0	0	1	0	505.533
63630	0	1	0	0	0	1	0	505.550
63640	0	1	0	0	0	1	0	505.567
63650	0	1	0	0	0	1	0	505.583
63670	0	1	0	0	0	1	0	505.600
63680	0	1	0	0	0	1	0	505.617
63690	0	1	0	0	0	1	0	505.633
63700	0	1	0	0	0	1	0	505.650
63720	0	1	0	0	0	1	0	505.667
63730	0	1	0	0	0	1	0	505.683
63740	0	1	0	0	0	1	0	505.700
63750	0	1	0	0	0	1	0	505.717
63770	0	1	0	0	0	1	0	505.733
63780	0	1	0	0	0	1	0	505.750
63790	0	1	0	0	0	1	0	505.767
63810	0	1	0	0	0	1	0	505.783
63820	0	1	0	0	0	1	0	505.800
63830	0	1	0	0	0	1	0	505.817
63840	0	1	0	0	0	1	0	505.833
63860	0	1	0	0	0	1	0	505.850
63870	0	1	0	0	0	1	0	505.867
63880	0	1	0	0	0	1	0	505.883
63900	0	1	0	0	0	1	0	505.900
63910	0	1	0	0	0	1	0	505.917
63920	0	1	0	0	0	1	0	505.933
63930	0	1	0	0	0	1	0	505.950
63950	0	1	0	0	0	1	0	505.967
63960	0	1	0	0	0	1	0	505.983
63970	0	1	0	0	0	1	0	506.000
63980	0	1	0	0	0	1	0	506.017
64000	0	1	0	0	0	1	0	506.033
64010	0	1	0	0	0	1	0	506.050
64020	0	1	0	0	0	1	0	506.067
64040	0	1	0	0	0	1	0	506.083
64050	0	1	0	0	0	1	0	506.100
64060	0	1	0	0	0	1	0	506.117
64070	0	1	0	0	0	1	0	506.133
64090	0	1	0	0	0	1	0	506.150
64100	0	1	0	0	0	1	0	506.167
64110	0	1	0	0	0	1	0	506.183
64120	0	1	0	0	0	1	0	506.200
64140	0	1	0	0	0	1	0	506.217
64150	0	1	0	0	0	1	0	506.233
64160	0	1	0	0	0	1	0	506.250
64180	0	1	0	0	0	1	0	506.267
64190	0	1	0	0	0	1	0	506.283
64200	0	1	0	0	0	1	0	506.300
64210	0	1	0	0	0	1	0	506.317
64230	0	1	0	0	0	1	0	506.333
64240	0	1	0	0	0	1	0	506.350
64250	0	1	0	0	0	1	0	506.367
64270	0	1	0	0	0	1	0	506.383
64280	0	1	0	0	0	1	0	506.400
64290	0	1	0	0	0	1	0	506.417
64300	0	1	0	0	0	1	0	506.433
64320	0	1	0	0	0	1	0	506.450
64330	0	1	0	0	0	1	0	506.467
64340	0	1	0	0	0	1	0	506.483
64350	0	1	0	0	0	1	0	506.500
# 487 ticks over a 6.200 s race-time span, 0 of them with disagreeing frames
