#tmauto-artifact 1
#map_uid buNzfsVlp2NF2oWtHM3729dEylg
#map_sha256 17cfebb228862cc4fe3d6cbb81c80d59e5f87bca9bafb5c2aa5e4136a10d145b
#container_ticks 4200
#prefix 153
#declared_ms 41800
#declared_cps 20900,41800
#template wobble7919 gas=on ticks=9000
#tape_sha256 09cf59fff006646b8ea56f2a3fb21e8782d7a027d0013cc62af1fb6219513dba
#file_sha256 fa0b9e6648d3de2bc4ec8c16de7d3db16156e0d22e6e5c868700548507f08bba
#producer tmauto optimize
#parent d059e58e4d562f8390ef96c08ea3977242148d554d82b3cedcca57efd7eccc26
#parent_path /var/svcscm/persistent/private-30d/tm-autopilot/C2-drive/bank-summer01/summer01-finish-36698.artifact.tsv
#cut n/a
#macro_steer n/a
#note (1+lambda) hill climb on finish time, plain oracle only, no memory readout; server-simulated finish 36.618 at the moment of banking
tick	steer	gas	brake	respawn
1903	-127	1	0	0
1904	-127	1	0	0
1905	-127	1	0	0
1906	-127	1	0	0
1907	-127	1	0	0
1908	-127	1	0	0
1909	-127	1	0	0
1910	-127	1	0	0
1911	-127	1	0	0
1912	-127	1	0	0
1913	-127	1	0	0
1914	-127	1	0	0
1915	-127	1	0	0
1916	-127	1	0	0
1917	0	1	0	0
1918	0	1	0	0
1919	0	1	0	0
1920	0	1	0	0
1921	0	1	0	0
1922	0	1	0	0
1923	0	1	0	0
1924	0	1	0	0
1925	0	1	0	0
1926	0	1	0	0
1927	0	1	0	0
1928	0	1	0	0
1929	0	1	0	0
1930	0	1	0	0
1931	0	1	0	0
1932	0	1	0	0
1933	0	1	0	0
1934	0	1	0	0
1935	0	1	0	0
1936	0	1	0	0
1937	0	1	0	0
1938	0	1	0	0
1939	0	1	0	0
1940	0	1	0	0
1941	0	1	0	0
1942	0	1	0	0
1943	0	1	0	0
1944	0	1	0	0
1945	0	1	0	0
1946	0	1	0	0
1947	0	1	0	0
1948	0	1	0	0
1949	0	1	0	0
1950	0	1	0	0
1951	0	1	0	0
1952	0	1	0	0
1953	127	1	0	0
1954	127	1	0	0
1955	127	1	0	0
1956	127	1	0	0
1957	127	1	0	0
1958	127	1	0	0
1959	127	1	0	0
1960	127	1	0	0
1961	127	1	0	0
1962	127	1	0	0
1963	127	1	0	0
1964	127	1	0	0
1965	-127	1	0	0
1966	-127	1	0	0
1967	-127	1	0	0
1968	-127	1	0	0
1969	-127	1	0	0
1970	-127	1	0	0
1971	-127	1	0	0
1972	-127	1	0	0
1973	-127	1	0	0
1974	-127	1	0	0
1975	-127	1	0	0
1976	-127	1	0	0
1977	-127	1	0	0
1978	-127	1	0	0
1979	-127	1	0	0
1980	-127	1	0	0
1981	-127	1	0	0
1982	-127	1	0	0
1983	-127	1	0	0
1984	-127	1	0	0
1985	-127	1	0	0
1986	-127	1	0	0
