race_ms,steer,accel,brake
3360,-127,1,0
3370,-127,1,0
3380,-127,1,0
3390,-127,1,0
3400,-127,1,0
3410,-127,1,0
3420,-127,1,0
3430,-127,1,0
3440,-127,1,0
3450,-127,1,0
3460,-127,1,0
3470,-127,1,0
3480,-127,1,0
3490,-127,1,0
3500,-127,1,0
3510,-127,1,0
3520,-127,1,0
3530,-127,1,0
3540,-127,1,0
3550,-127,1,0
3560,-127,1,0
3570,-127,1,0
3580,-127,1,0
3590,-127,1,0
3600,-127,1,0
3610,-127,1,0
3620,-127,1,0
3630,-127,1,0
3640,-127,1,0
3650,-127,1,0
3660,-127,1,0
3670,-127,1,0
3680,-127,1,0
3690,-127,1,0
3700,-127,1,0
3710,-127,1,0
3720,-127,1,0
3730,-127,1,0
3740,-127,1,0
3750,-127,1,0
3760,-127,1,0
3770,-127,1,0
3780,-127,1,0
3790,-127,1,0
3800,-127,1,0
3810,-127,1,0
3820,-127,1,0
3830,-127,1,0
3840,-127,1,0
3850,-127,1,0
3860,-127,1,0
3870,-127,1,0
3880,-127,1,0
3890,-125,1,0
3900,-127,1,0
3910,-127,1,0
3920,-127,1,0
3930,-127,1,0
3940,-127,1,0
3950,-127,1,0
3960,-127,1,0
3970,-127,1,0
3980,-127,1,0
3990,-127,1,0
4000,-127,1,0
4010,-127,1,0
4020,-127,1,0
4030,-127,1,0
4040,-127,1,0
4050,-127,1,0
4060,-127,1,0
4070,-127,1,0
4080,-127,1,0
4090,-127,1,0
4100,-127,1,0
4110,-127,1,0
4120,-127,1,0
4130,-127,1,0
4140,-127,1,0
4150,-127,1,0
4160,-124,1,0
4170,-117,1,0
4180,-110,1,0
4190,-106,1,0
4200,-102,1,0
4210,-97,1,0
4220,-93,1,0
4230,-87,1,0
4240,-79,1,0
4250,-74,1,0
4260,-68,1,0
4270,-62,1,0
4280,-57,1,0
4290,-54,1,0
4300,-52,1,0
4310,-53,1,0
4320,-54,1,0
4330,-57,1,0
4340,-45,1,0
4350,-6,1,0
4360,41,1,0
4370,64,1,0
4380,127,1,0
4390,127,1,0
4400,127,1,0
4410,127,1,0
4420,127,1,0
4430,127,1,0
4440,127,1,0
4450,127,1,0
4460,127,1,0
4470,127,1,0
4480,127,1,0
4490,117,1,0
