race_ms,steer,accel,brake
10970,114,1,0
10980,61,1,0
10990,61,1,0
11000,60,1,0
11010,60,1,0
11020,59,1,0
11030,59,1,0
11040,59,1,0
11050,59,1,0
11060,110,1,0
11070,110,1,0
11080,110,1,0
11090,76,1,0
11100,76,1,0
11110,76,1,0
11120,76,1,0
11130,76,1,0
11140,76,1,0
11150,77,1,0
11160,77,1,0
11170,111,1,0
11180,111,1,0
11190,112,1,0
11200,112,1,0
11210,68,1,0
11220,68,1,0
11230,62,1,0
11240,62,1,0
11250,67,1,0
11260,67,1,0
11270,68,1,0
11280,69,1,0
11290,117,1,0
11300,118,1,0
11310,115,1,0
11320,115,1,0
11330,71,1,0
11340,71,1,0
11350,72,1,0
11360,73,1,0
11370,77,1,0
11380,41,1,0
11390,123,1,0
11400,124,1,0
11410,42,1,0
11420,43,1,0
11430,43,1,0
11440,-1,1,0
11450,-1,1,0
11460,-1,1,0
11470,-1,1,0
11480,0,1,0
11490,0,1,0
11500,0,1,0
11510,0,1,0
11520,0,1,0
11530,0,1,0
11540,0,1,0
11550,0,1,1
11560,0,1,1
11570,1,1,1
11580,1,1,1
11590,1,1,0
11600,1,1,1
11610,2,1,0
11620,2,1,1
11630,3,1,0
11640,3,1,0
11650,4,1,0
11660,4,1,0
11670,5,1,0
11680,5,1,0
11690,6,1,0
11700,7,1,0
11710,8,1,0
11720,9,1,0
11730,10,1,0
11740,10,1,0
11750,11,1,0
11760,11,1,1
11770,12,1,0
11780,13,1,0
11790,13,1,0
11800,14,1,0
11810,14,1,0
11820,14,1,0
11830,14,1,0
11840,15,1,1
11850,15,1,1
11860,16,1,0
11870,16,1,1
11880,17,1,1
11890,17,1,1
11900,18,1,0
11910,18,1,0
11920,18,1,0
11930,18,1,0
11940,18,1,1
11950,18,1,0
11960,18,1,0
11970,18,1,1
11980,18,1,0
11990,17,1,1
12000,18,1,0
12010,18,1,1
12020,18,1,0
12030,17,1,0
12040,17,1,1
12050,16,1,1
12060,-89,1,1
12070,-90,1,0
12080,-89,1,0
12090,-90,1,0
12100,-90,1,1
12110,-89,1,0
12120,-90,1,1
12130,-89,1,1
12140,-90,1,0
12150,34,1,0
12160,-29,1,0
12170,-94,1,1
12180,-94,1,1
12190,-94,1,0
12200,-94,1,0
12210,-94,1,1
12220,-41,1,1
12230,-40,1,0
12240,-41,1,0
12250,-40,1,0
12260,-110,1,1
12270,-110,1,0
12280,-110,1,1
12290,-110,1,0
12300,-110,1,0
12310,-100,1,0
12320,-99,1,1
12330,-99,1,1
12340,-98,1,1
12350,-48,1,0
12360,-108,1,0
12370,-107,1,0
12380,-107,1,0
12390,-107,0,1
12400,-107,0,1
12410,-107,0,0
12420,-107,0,0
12430,-96,0,0
12440,-95,0,0
12450,-95,0,1
12460,-96,0,0
12470,-46,0,1
12480,-105,0,0
12490,-106,1,0
12500,-106,1,1
12510,70,1,0
12520,70,1,0
12530,70,1,1
12540,70,1,1
12550,71,0,0
12560,71,0,0
12570,71,0,0
12580,71,0,0
12590,71,0,0
12600,71,0,1
12610,20,0,1
12620,21,0,0
12630,21,0,0
12640,127,1,1
12650,127,1,0
12660,127,1,1
12670,127,1,1
12680,127,1,0
12690,127,1,0
12700,127,1,0
12710,127,1,1
12720,127,1,1
12730,127,1,0
12740,127,1,0
12750,127,1,1
12760,127,1,1
12770,127,1,1
12780,127,1,1
12790,127,1,1
12800,127,1,1
12810,127,1,1
12820,127,1,1
12830,127,1,1
12840,127,1,1
12850,127,1,1
12860,127,1,1
12870,53,1,1
12880,53,1,1
12890,53,1,0
12900,53,1,1
12910,53,1,0
12920,53,1,0
12930,53,1,1
12940,53,1,1
12950,53,1,0
12960,53,1,1
12970,53,1,0
12980,53,1,1
12990,53,1,1
13000,53,1,0
13010,53,1,0
13020,53,1,0
13030,53,1,1
13040,53,1,0
13050,53,1,1
13060,53,1,0
13070,53,1,0
13080,53,1,0
13090,53,1,0
13100,53,1,0
13110,53,1,0
13120,53,1,0
13130,53,1,0
13140,53,1,0
13150,53,1,0
13160,53,1,0
13170,127,1,0
13180,127,1,0
13190,127,1,0
13200,127,1,0
13210,127,1,0
13220,127,1,0
13230,-72,0,0
13240,-72,0,0
13250,-71,0,0
13260,-71,0,0
13270,-71,0,0
13280,-70,0,0
13290,-69,0,0
13300,-16,1,0
13310,-15,1,0
13320,-15,1,0
13330,-14,1,0
13340,-14,1,0
13350,-14,1,0
13360,-13,1,0
13370,-12,1,0
13380,-13,1,0
13390,-13,1,0
13400,-12,1,0
13410,-12,1,0
13420,-12,1,0
13430,-12,1,0
13440,-11,1,1
13450,-12,1,0
13460,-12,1,0
13470,-12,1,0
13480,-12,1,0
13490,-67,1,0
13500,-67,1,0
13510,-65,1,0
13520,-65,1,1
13530,-64,1,0
13540,-64,1,0
13550,-63,1,1
13560,-63,1,0
13570,-63,1,0
13580,-62,1,0
13590,65,1,0
13600,65,1,0
13610,65,1,0
13620,65,1,0
13630,65,1,1
13640,66,1,1
13650,66,1,0
13660,66,1,0
13670,65,1,1
13680,66,1,1
13690,66,1,1
13700,66,1,1
13710,66,1,1
13720,67,1,0
13730,67,1,0
13740,66,1,0
13750,66,1,0
13760,66,1,1
