time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
2000,1580.47,14.671,814.489,112.161,31.1558,-3.76319,-11.7799,28.5964,-0.136058,-0.383593,0.0512046,0.191713,-0.0621957,-0.0102989,0.979424,2,57,-0.00392157,1,0,0,True,True,0,0.0392157,0.0392157,0.0705882,0.0705882
2050,1580.27,14.073,815.941,116.156,32.2655,-4.0084,-12.5475,29.4544,-0.136188,-0.385905,0.0492018,0.192785,-0.0624007,-0.00927351,0.979211,2,60,-0.00392157,1,0,0,True,True,0,0.0235294,0.00784314,0.0392157,0.054902
2100,1580.06,13.454,817.448,120.173,33.3814,-4.03202,-12.6214,30.6392,-0.135893,-0.37994,0.0492886,0.18987,-0.0623434,-0.00960673,0.979781,2,62,-0.00392157,1,0,0,True,True,0,-0.00784314,-0.00784314,0.0235294,0.0235294
2150,1579.85,12.842,819.022,124.081,34.4669,-4.3556,-12.5542,31.8023,-0.135008,-0.36257,0.0482964,0.181335,-0.0622688,-0.00999984,0.981397,2,64,-0.00392157,1,0,0,True,True,0,-0.00784314,-0.00784314,0.00784314,0.00784314
2200,1579.63,12.241,820.66,127.86,35.5166,-4.52083,-12.0587,33.0995,-0.13366,-0.33543,0.0468134,0.167972,-0.0621457,-0.0105985,0.983774,2,66,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,-0.00784314,-0.00784314,-0.00784314
2250,1579.4,11.673,822.367,131.49,36.5251,-4.63803,-11.4977,34.3566,-0.132024,-0.302069,0.0461944,0.151535,-0.0618866,-0.0118299,0.986442,2,67,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,-0.00784314,0.00784314,-0.00784314
2300,1579.17,11.147,824.141,134.819,37.4497,-4.52341,-10.4601,35.6736,-0.130092,-0.25738,0.0360694,0.129168,-0.0622194,-0.00891895,0.989629,2,70,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,-0.00784314,-0.00784314,0.00784314
2350,1578.93,10.706,825.986,137.818,38.2828,-4.77283,-9.11493,36.8742,-0.128113,-0.205622,0.0292832,0.103321,-0.0622004,-0.00765898,0.992672,2,71,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,-0.00784314,-0.00784314,0.00784314
2400,1578.69,10.36,827.894,140.462,39.0171,-4.9073,-7.0806,38.0541,-0.126127,-0.142679,0.0223565,0.0718285,-0.0620706,-0.00652255,0.995462,2,72,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,0.00784314,-0.00784314,0.00784314
2450,1578.45,10.139,829.855,142.442,39.5672,-5.02459,-4.60737,38.9755,-0.124195,-0.0692692,0.0128667,0.0349582,-0.0617974,-0.0042528,0.997467,2,74,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,-0.00784314,-0.00784314,0.00784314
