time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
8400,1164.04,10.032,980.444,336.95,93.5972,-88.3994,-2.18718,30.6789,-1.22359,0.00146415,-0.0327164,-0.00999388,-0.574249,0.0129701,0.818517,4,87,-1,1,0,-0.274658,True,True,0,0.0392157,-0.00784314,-0.00784314,0.0392157
8450,1159.65,10.027,982.09,338.3,93.9723,-87.5771,-1.07251e-14,34.0742,-1.18775,0.0016725,-0.0265736,-0.00812775,-0.559518,0.0105436,0.828711,4,88,-1,1,0,-0.335693,True,True,0,0.0392157,-0.00784314,-0.00784314,0.0235294
8500,1155.3,10.027,983.902,339.317,94.2546,-86.5119,1.05946e-14,37.4116,-1.14977,0.0018389,-0.0267876,-0.00805408,-0.543679,0.0107406,0.839186,4,88,-1,1,0,-0.366211,True,True,0,0.0392157,-0.00784314,-0.00784314,0.0235294
8550,1151.02,10.033,985.887,340.336,94.5378,-85.3201,1.04487e-14,40.7172,-1.11012,0.0020194,-0.032889,-0.00952372,-0.526908,0.013443,0.849763,4,88,-1,1,0,-0.427246,True,True,0,0.054902,-0.00784314,-0.00784314,0.0392157
8600,1146.81,10.042,988.049,341.359,94.8219,-83.4265,2.06414,45.0216,-1.06944,0.00232875,-0.0425685,-0.0118472,-0.509464,0.0177185,0.860228,4,89,-1,1,0,-0.457764,True,True,0,0.0705882,-0.00784314,-0.00784314,0.054902
8650,1142.68,10.051,990.387,341.7,94.9167,-81.8062,1.00184e-14,48.1345,-1.02788,0.00251801,-0.0523948,-0.0139734,-0.491413,0.0221917,0.870532,5,90,-1,1,0,-0.457764,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
8700,1138.64,10.057,992.893,341.7,94.9167,-79.9642,9.79279e-15,51.1362,-0.985937,0.00239075,-0.0594996,-0.0151293,-0.473002,0.0256381,0.880558,5,83,-0.00392157,1,0,-0.610352,True,True,0,0.101961,-0.00784314,-0.00784314,0.0862745
8750,1134.71,10.058,995.545,341.359,94.8219,-77.9342,-9.54419e-15,54.0134,-0.949268,0.00199067,-0.0604591,-0.0146981,-0.456777,0.0264291,0.889067,5,75,-0.00392157,1,0,-0.854492,True,True,0,0.101961,-0.00784314,-0.00784314,0.0862745
8800,1130.87,10.052,998.322,341.359,94.8219,-76.551,-1.89402,55.9245,-0.922789,0.00141625,-0.0543899,-0.0127395,-0.445015,0.0240331,0.89511,5,68,-0.00392157,1,0,-0.640869,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
8850,1127.08,10.04,1001.2,342.727,95.2019,-75.4459,-1.86668,58.0331,-0.903992,0.00120748,-0.041904,-0.00969334,-0.436654,0.0185829,0.899385,5,69,-0.00392157,1,0,-0.457764,True,True,0,0.054902,-0.00784314,-0.00784314,0.054902
8900,1123.34,10.026,1004.15,343.757,95.4879,-74.9471,-1.85434,59.1392,-0.890926,0.00131515,-0.025721,-0.00613447,-0.430832,0.0113218,0.90234,5,69,1,1,0,-0.457764,True,True,0,0.0392157,-0.00784314,-0.00784314,0.0235294
8950,1119.6,10.012,1007.14,345.134,95.8707,-75.2475,-1.86177,59.3762,-0.88739,0.00147288,-0.00831052,-0.00244889,-0.429273,0.00343676,0.903165,5,69,1,1,0,-0.579834,True,True,0,0.00784314,-0.00784314,-0.00784314,0.00784314
9000,1115.85,10.01,1010.14,346.171,96.1587,-75.4735,1.86737,59.5546,-0.897093,0.000581943,0.00456488,0.000727606,-0.433656,-0.00218284,0.901076,5,69,1,1,0,-0.305176,True,True,0,-0.00784314,-0.00784314,-0.00784314,-0.00784314
9050,1112.05,10.019,1013.11,347.559,96.5441,-77.2314,1.91086,57.9002,-0.91662,0.000520759,0.0163,0.00337228,-0.44242,-0.00742403,0.896771,5,70,1,1,0,-0.0915527,True,True,0,-0.00784314,0.0235294,0.00784314,-0.00784314
