time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
1500,1583.51,17.968,801.588,85.2795,23.6887,-1.87258,-1.40344,23.5729,-0.0765916,-0.0316398,0.00653262,0.0159326,-0.0382298,-0.00265621,0.999138,1,74,-0.00392157,1,0,0,True,True,0,0.0862745,0.0862745,0.00784314,0.00784314
1550,1583.42,17.904,802.763,88.4939,24.5816,-1.96525,-2.30968,24.3939,-0.0780497,-0.0822318,0.00815358,0.0412311,-0.0388148,-0.00245281,0.998392,1,76,-0.00392157,1,0,0,True,True,0,0.117647,0.101961,0.0235294,0.0235294
1600,1583.33,17.786,803.978,92.0134,25.5593,-1.98728,-3.57703,25.2296,-0.0794222,-0.137968,0.0131867,0.0691322,-0.0391556,-0.00377348,0.996832,1,79,-0.00392157,1,0,0,True,True,0,0.117647,0.117647,0.054902,0.054902
1650,1583.23,17.599,805.237,95.7685,26.6024,-2.07713,-5.14923,26.0165,-0.080808,-0.18771,0.0194964,0.0940219,-0.0393166,-0.00574159,0.994777,1,84,-0.00392157,1,0,0,True,True,0,0.133333,0.133333,0.0862745,0.0862745
1700,1583.12,17.339,806.54,99.7766,27.7157,-2.06513,-6.46447,26.8721,-0.0822285,-0.232121,0.0258203,0.116206,-0.0393693,-0.00770933,0.992415,1,86,-0.00392157,1,0,0,True,True,0,0.133333,0.133333,0.117647,0.117647
1750,1583.01,17.008,807.885,102.61,28.5027,-2.24506,-7.67789,27.3572,-0.0835853,-0.270917,0.0306511,0.135523,-0.0394009,-0.0089767,0.98995,2,88,-0.00392157,1,0,0,True,True,0,0.133333,0.133333,0.133333,0.117647
1800,1582.89,16.617,809.245,104.161,28.9335,-2.34866,-8.83816,27.4503,-0.0848637,-0.306217,0.0310417,0.152977,-0.0396633,-0.00814378,0.9874,2,83,-0.00392157,1,0,-0.0305176,True,True,0,0.133333,0.133333,0.133333,0.133333
1850,1582.78,16.173,810.613,105.841,29.4002,-2.40312,-10.0371,27.5291,-0.0859749,-0.338183,0.0299425,0.168713,-0.0399825,-0.0066777,0.984831,2,76,-0.00392157,1,0,-0.0305176,True,True,0,0.117647,0.117647,0.133333,0.133333
1900,1582.66,15.676,811.992,107.763,29.9342,-2.33728,-10.9516,27.7606,-0.0867897,-0.364289,0.0291012,0.181532,-0.0401992,-0.00550102,0.982548,2,68,-0.00392157,1,0,-0.0305176,True,True,0,0.101961,0.0862745,0.133333,0.133333
1950,1582.54,15.136,813.388,109.72,30.4778,-2.45252,-11.4916,28.1217,-0.0874141,-0.383109,0.0294484,0.190772,-0.0402924,-0.00507658,0.980794,2,61,-0.00392157,1,0,-0.0305176,True,True,0,0.0705882,0.054902,0.101961,0.117647
2000,1582.41,14.559,814.805,112.723,31.312,-2.29259,-12.2151,28.7398,-0.087765,-0.393051,0.03116,0.195674,-0.040212,-0.00553652,0.979829,2,57,-0.00392157,1,0,-0.0305176,True,True,0,0.0392157,0.0392157,0.0862745,0.0862745
