path	uid	decoration	waypoint_order	dir	cx	cy	cz	x	y	z	status
/var/svcscm/persistent/private-30d/tm-unbeaten/nan_u01_map_276874.Map.Gbx	9wv8HirGqNFCJsFeVJg6ErKYH6b	NoStadium48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/prs_210218_seg/CONTROL_origin.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/prs_210218_seg/map210218_prs.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/prs_210218_seg/seg11.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/prs_210218_seg/seg12.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/prs_210218_seg/seg13.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/prs_210218_seg/seg14.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/prs_210218_seg/seg15.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/prs_210218_seg/seg16.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/snow_MAP_156451_nadeo_v1.Map.Gbx	7jgWLFiAFRQ09bAnRA6DeGFnm_e	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/u01_map_276874.Map.Gbx	9wv8HirGqNFCJsFeVJg6ErKYH6b	NoStadium48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/u02_map_276877.Map.Gbx	qG5Osw7Uuwwi3VmqTCwIr3bbNUf	NoStadium48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uw_map_173691.Map.Gbx	D0KdisOjKSxSIAXawtwlBqLz9Kb	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uw_map_endgame_probe_v1.Map.Gbx	D0KdisOjKSxSIAXawtwlBqLz9Kb	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uw_map_original_100652.Map.Gbx	anR5Gj5OpLsXZOVzyUfdah1R3wk	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uwj_film_rig_map_v1.Map.Gbx	D0KdisOjKSxSIAXawtwlBqLz9Kb	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uwj_map_cps_neutralised_v1.Map.Gbx	D0KdisOjKSxSIAXawtwlBqLz9Kb	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uwj_map_finish_neutralised_CONTROL_v1.Map.Gbx	D0KdisOjKSxSIAXawtwlBqLz9Kb	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uwj_map_glide_runway_v1.Map.Gbx	D0KdisOjKSxSIAXawtwlBqLz9Kb	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uwj_map_spawn_LOWER_canopy_v1.Map.Gbx	D0KdisOjKSxSIAXawtwlBqLz9Kb	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/uwj_map_spawn_UPPER_canopy_v1.Map.Gbx	D0KdisOjKSxSIAXawtwlBqLz9Kb	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
